nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,propertytype
Mohammad G.,9.4,29-Sep-21,"A pleasant stay in the middle of bandung. I booked the single room with a bathtub (required prior request) and the room exterior feels like an aged homey place. The hot water is available on specific times (5-9; 15-21), the bathtub drain plug is not available (you had to bring/make your own), the air conditioning remote required extra aim to be able to function. The bed was alright, it has one pillow. The exterior is well-maintained, a lot of breathing space and great gardens. This hotel has a ""kamartuju"" cafe which serves great ristresso and affogato, a must try. On weekend this is a bicycling spot where locals meet up so expect to see them on the cafe at 6-9 am. Didn't book with breakfast so cannot review the restaurant, but had own breakfast in the place and its very cozy. Lots of ventilation and morning breeze. The gate to jl gempol is not opened anymore which is unfortunate, but may be a required thing in these pandemic times. Weekend morning at jl gempol is very crowded nowadays. Overall a nice place for families to stay, would stay again.",Hotel Bumi Asih Gedung Sate Bandung,HOTELS
asep b.,9.7,13-Sep-21,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Rizal P.,9.4,28-Mar-22,"First time stays at this really central located hotel, we booked the Deluxe City View and asked for the high floor to have a better view, it was really a stunning view from the balcony and window. They gave us the room no 1032, its headed to East (just in front of the Gasibu park) and the side window is headed to North (Dago and Mt Tangkuban Perahu view). The room size is just perfect with large modern IPTV and other facilities but the bathroom size is really small (1x1,5) for a 5* hotel, even the 4* hotel have much bigger bathroom. The other issues is the sound proof is really bad, the noise from the busy street and Gasibu park below is clearly heard in the room and its really dissapointing for a 5* hotel. The parking lots is huge, I guess its the biggest basement parking lot for a hotel in Bandung, maybe its because of next to the hotel is a convention center and they shared the same parking lot, and maybe if there's an event at the convention center then parking will be an issue. Anyway, overall its a pleasent stay at the hotel, and really recommended hotel for leissure or business.",Pullman Bandung Grand Central,HOTELS
Fachri R.,9.7,27-Mar-22,The room is clean and the staff were amazing.,Pullman Bandung Grand Central,HOTELS
Annisa R.,10,11-Mar-22,"Had a very pleasant stay at Pullman Bandung. Got such great complimentary (Room Upgrade, mini bar, and cakes + snacks) because this was our honeymoon stay. Good job Pullman Bandung team especially. Mba Marina, Feby, Dita from Guest Relations Team and the awesome housekeeping team! Will definitely stay here again __",Pullman Bandung Grand Central,HOTELS
Desti S.,9.7,08-Mar-22,,Pullman Bandung Grand Central,HOTELS
Desti S.,9.7,01-Mar-22,,Pullman Bandung Grand Central,HOTELS
yuli a.,9.7,28-Feb-22,,Pullman Bandung Grand Central,HOTELS
Ristya A.,10,23-Feb-22,Glad to stay in here. Perfect,Pullman Bandung Grand Central,HOTELS
Yuanita P.,10,08-Feb-22,Comfy. Spacious. Over all amazing ______,Pullman Bandung Grand Central,HOTELS
Fajrina E. P.,9.1,07-Feb-22,"Great service, near to the shopping and cullinary area. Tasty breakfast. Room was clean and tidy, shout out to their housekeeping team! And their guest relations team can provide cute little decoration also. Keep it up, Pullman __",Pullman Bandung Grand Central,HOTELS
Irene D. P.,9.7,06-Feb-22,Great location and great room!,Pullman Bandung Grand Central,HOTELS
Gadis P. A.,6.2,24-Mar-22,"Pros: _ the room & area are very aesthetically pleasing _ good breakfast _ VERY nice bathub experience. Cons: _ VERY moldy. Especially the bedsheet and the bathroom smells very moldy. Could be improve with a proper maintenance. _ VERY noisy. You can hear everything from the room beside and above you. We stayed until 1 AM just to wait all the noises to stop. Would recommend bringing an earplug here. _ the room layout wasn't convenient, though aesthetically pleasing. Putting a clothing rack on top of the bed was surely space saving, but annoying. _ we found an ashtray full of cigarettes and patio floor dirty when we checked in. Proof that they haven't thoroughly cleaned up the room before we got in.",The House Tour Hotel Downtown,HOTELS
Citrarini C.,9.1,19-Mar-22,"Great location, and nice interior. Had a pleasant staycation, but a lil'bit lack of privacy because of the glass wall. Need some improvement on the sound-proof walls.",The House Tour Hotel Downtown,HOTELS
Nanda R.,8.5,07-Mar-22,,The House Tour Hotel Downtown,HOTELS
Mustika R. N.,10,07-Mar-22,Had a pleasent experience stay here. One of the best moment at Bandung.,The House Tour Hotel Downtown,HOTELS
Samuel E. P. S.,9.7,06-Mar-22,"The room interior is awesome, the staff is very friendly, breakfast is yummy. However, the room is not sound proof, you can still hear the noise from the outside but it is still bearable.",The House Tour Hotel Downtown,HOTELS
Halida,9.7,02-Mar-22,"Had a great time staying here. The service is great: quick responses from front desk, bottle water refill, breakfast delivered to your room, room service billed on check out. The bed is comfortable, the bathroom is clean, the room is very well designed. Wifi was spotty during our stay, but it worked well outside the room; Not sure what the problem was. Also the TV (with Netflix, etc) is connected to LAN cable, so this wasn't an issue. The room on the 1st floor is on the same floor as a restaurant (right outside the door) and not soundproof, so it might get a bit loud during busy hours.",The House Tour Hotel Downtown,HOTELS
Muhammad T.,10,24-Feb-22,Good value and quality to rest and ease up your mind.,The House Tour Hotel Downtown,HOTELS
muhammad y. f.,10,24-Feb-22,,The House Tour Hotel Downtown,HOTELS
Joana W.,8.8,04-Feb-22,"The space is rather small, but for a short stay, it 's doable. The best part about it is their location!",The House Tour Hotel Downtown,HOTELS
Elienz V. T.,8.5,24-Nov-21,,The House Tour Hotel Downtown,HOTELS
muhamad e. s.,8.5,11-Mar-22,,Hotel Vio Cimanuk,HOTELS
Julian P.,5.4,22-Dec-21,"The room was okay, but the services are terrible, my wife got bad service, we booked a room with breakfast, but didn't get our breakfast meal, also the staff are not helpful since we brought the baby and my wife had a lot of stuff to bring, the staffs on duty didn't care at all. Such disappointment.",Hotel Vio Cimanuk,HOTELS
Diana W.,8.2,15-Nov-21,"All was OK, nothing special. The bedroom quite less OK.",Hotel Vio Cimanuk,HOTELS
Ratu Z.,8.7,09-Oct-21,Clean room and close to the crowd. Had a nice jog with very good weather! Recommended!,Hotel Vio Cimanuk,HOTELS
Tyas,5.1,11-Sep-21,"The room is dusty and dirty, the hairdryer isn't working, the food is painfully stale, saw the worker clean the table using the same cloth for the floor, they cut off electricity 11.30 (check out is 12.00). Definitely not coming back.",Hotel Vio Cimanuk,HOTELS
Hadi H.,9.4,25-Mar-21,,Hotel Vio Cimanuk,HOTELS
Nursifa A.,5.8,22-Dec-20,"The price is good, yet the cleanliness of the hotel is unsatisfying. The waste water flow of wastafel is really slow too.",Hotel Vio Cimanuk,HOTELS
Handoko B.,5.2,08-Dec-20,"No hot water, smelly bed, dirty pillow. Nasty.",Hotel Vio Cimanuk,HOTELS
Ozie B.,10,30-Nov-20,,Hotel Vio Cimanuk,HOTELS
Fransiskus S. H.,9.1,15-Nov-20,"Location, location, location.. The hotel is located near Taman Lansia.. It means that on Sunday morning, you will experience that famous ""Pasar tumpah"" My wife really enjoyed that.. Definitely will be coming back..",Hotel Vio Cimanuk,HOTELS
Adisti M.,8.6,14-Dec-21,"Strategic location, good service, food 's okay. AC didn't work properly (always set it on lowest temp) and leaking, so uncomfortable. Also, a lots of ants in my room.",Amaris Hotel Cimanuk,HOTELS
Ratri Y.,9.6,30-Oct-21,"Clean, good ambience, stategist.",Amaris Hotel Cimanuk,HOTELS
Bagas B.,8.5,17-Oct-21,Clean and good services. Thank you.,Amaris Hotel Cimanuk,HOTELS
Ayyi Y.,9.4,17-Oct-21,"Staying at Amaris is never failed. Good service, good room, good location also. Thanks for the warm and friendly staff of Amaris Cimanuk.",Amaris Hotel Cimanuk,HOTELS
Guest-r0wy1l,9.7,17-Oct-21,"This is a very good value for money hotel for us. Room, service, staff and location is __.",Amaris Hotel Cimanuk,HOTELS
Fakhri M. M.,8.8,30-Aug-21,Great stay. I worked at government office nearby and had event for 3 days. I decided to stay at amaris. It is nice for only take a rest. The staff were also nice,Amaris Hotel Cimanuk,HOTELS
Maureen L.,9.7,23-Jun-21,"Staffs very friendly, good food.",Amaris Hotel Cimanuk,HOTELS
Risty M.,10,02-Apr-21,,Amaris Hotel Cimanuk,HOTELS
amlbuton,10,01-Apr-21,"Room as per expectation, clean and tidy price also better via app",Amaris Hotel Cimanuk,HOTELS
Devi D. W.,8.8,29-Mar-21,more than enough. location is very good,Amaris Hotel Cimanuk,HOTELS
Uli M.,6,13-Mar-22,Check in for 2 deluxe room at 4PM but not ready for 1 room. Need to reminder couple times for our 2nd room and got at 5PM.,De Paviljoen Bandung,HOTELS
Ian K.,9.7,05-Mar-22,"I had a time and it was so memorable, definitely will come back to this hotel.",De Paviljoen Bandung,HOTELS
Agustinus K.,9.1,05-Jan-22,Will be back again gor next trip.,De Paviljoen Bandung,HOTELS
Frans H.,8.5,04-Jan-22,Nice hotel clean and comfy. The Location was great near to many Cafe and restaurant. Great for family stay.,De Paviljoen Bandung,HOTELS
Ali M.,8.5,28-Nov-21,,De Paviljoen Bandung,HOTELS
Sheila,6.7,14-Nov-21,"We arrived at the hotel at 3.30 pm expecting the rooms would be ready. However, the rooms were not ready. And when we asked for late check out as the compensation, they refused it. For me, it is so unfair. We are asked to fulfill the obligation, but they are not giving us our rights. Second disappointment was we need to retrieve our welcome drinks at the 12th floor (I think it ' s a lounge or something). We were tired and we don't have the energy to swing by the lounge just to get our drinks. Third, the parking lot was very very inadequate for a 4 star hotel. However, the food were quite tasty and the staffs at the restaurant and cafe were super nice and helpful.",De Paviljoen Bandung,HOTELS
Anton K. A.,10,01-Nov-21,"We were a 10 person family group that stayed over the weekend to celebrate my mom's birthday. It was a pleasant stay at De Paviljoen Bandung. Strategic location, all staffs were friendly and helpful (all of them!), rooms were clean, good facilities and the covid19 health protocols were applied in good manner as well. Breakfast menu and taste were also very good! I got a complimentary Birthday Cake surprise on our breakfast, it was a very pleasant experience stayed there, will be back again! - Please keep up the good work De Paviljoen!",De Paviljoen Bandung,HOTELS
Masayu A.,9.4,18-Sep-21,This hotel breakfast very dellicous __.,De Paviljoen Bandung,HOTELS
Tieka K.,9.7,11-Sep-21,"Second time back here, choose this hotel because there is the room with 2 bedrooms. It's quite rare to find a hotel, service is usually really nice, our favorite to stay so far.",De Paviljoen Bandung,HOTELS
Garnier F.,8.5,05-Sep-21,"Spacious bathroom, near the mosque and nice culinary around hotel.",De Paviljoen Bandung,HOTELS
Darmawel,9.7,03-Apr-22,"Good, clean and easy to find and so close to food restaurant atound hotel.",Hotel Vio Surapati,HOTELS
Alex G.,8.5,02-Jan-22,I love the ambience of the surroundings.,Hotel Vio Surapati,HOTELS
Aditia M. P.,9.4,10-Dec-21,,Hotel Vio Surapati,HOTELS
Fahmi F.,9.7,24-Oct-21,,Hotel Vio Surapati,HOTELS
Farras,5.9,19-Oct-21,"Staff is very friendly, 4 days, they always cleaned up my rent room, but still so much baby cockroaches, and its supposed single bed room type but changed to double bed very weird, only make room more smaller also, and the price of beverages (ice bottle drink) change every staff, once IDR 8000 and next is IDR 10000 difference time is night and morning, also bathroom too small. Oh yeah my room is 317. Because last time I stayed at this hotel is perfect in 2nd floor. In 3rd floor not so much.",Hotel Vio Surapati,HOTELS
Dony R.,4.8,15-Oct-21,,Hotel Vio Surapati,HOTELS
Silvana W.,6.2,05-Oct-21,"A lot of baby cockroach in bathroom. No linen cover for bolster. I will think twice to stay again in this hotel. I think with the same price offered by them, I can get better service in other hotel. Understand that their location is in the city center, but doesn't mean they are lowering the quality because they offer cheap price. Cleanlinness should be priority for hotel industry.",Hotel Vio Surapati,HOTELS
Cucu S.,8.5,05-Oct-21,,Hotel Vio Surapati,HOTELS
Aliyudin A.,9.7,15-Sep-21,Amazing place to have a great time for a simple trip. Thanks btw. It 's nice to be here __.,Hotel Vio Surapati,HOTELS
afifah r.,8.5,13-Aug-21,"Very nice place, strategic location and good staff!",Hotel Vio Surapati,HOTELS
Agustin R. S.,5.9,11-Feb-22,"Honestly it was great for a short gateway place, but it 's sad that after the night out my skin was red and all itchy and I think it 's because the bed was not properly cleaned and taken care of. The atmosphere is rather eerie especially at night.",Travelers Inn Dago,HOTELS
Yonny S. I.,6.5,06-Jan-22,Location is good. But I got room with broken flush and bad smelled bathroom.,Travelers Inn Dago,HOTELS
Desty,9.4,12-Dec-21,,Travelers Inn Dago,HOTELS
Eriek h. s.,8.5,09-Oct-21,"Near to city excitement, comfortable and spacious.",Travelers Inn Dago,HOTELS
verdani k. r.,8.5,17-Aug-21,,Travelers Inn Dago,HOTELS
Mia A.,9.7,28-Mar-21,,Travelers Inn Dago,HOTELS
Dian I. P. N.,6.4,28-Sep-20,"The first room I entered reeked of cigarette smoke, although it was supposed to be non-smoking room. Thee staff was nice and let me trade rooms. However, it was a very noisy place at night. People smoked cigarettes in the hallways and sometimes in the rooms. Will not stay here again.",Travelers Inn Dago,HOTELS
Marlina Y.,9.1,27-Sep-20,"had a pleasant staying here, love the common space. it was too crowded maybe because it was Saturday night. but overall, this was okay.",Travelers Inn Dago,HOTELS
Alya S.,9.7,06-Sep-20,,Travelers Inn Dago,HOTELS
Daisy G.,9.7,17-Aug-20,I do love staying at this place as I feel homy. The atmosphere is very nice and cozy. The room is very nice for all of us. The hotel staffs are very friendly but the phone line is not working. Keep upgrade the services. Good Luck and all the best.,Travelers Inn Dago,HOTELS
jehad,8.8,13-Mar-22,,Tebu Hotel Bandung,HOTELS
Winia H.,10,03-Mar-22,,Tebu Hotel Bandung,HOTELS
Nadelia R.,5.5,13-Feb-22,The hotel facilty was OK but the staff was not friendly at all. The room was not that clean. Very unstatisfied.,Tebu Hotel Bandung,HOTELS
Daniel L.,8.5,12-Feb-22,Reasonable price and near from front office and other some Bandung cullinary places.,Tebu Hotel Bandung,HOTELS
ofa n. a.,10,06-Feb-22,,Tebu Hotel Bandung,HOTELS
Opan G.,8.8,06-Jan-22,,Tebu Hotel Bandung,HOTELS
Lestari,9.4,03-Jan-22,"Very very strategic location, clean room, and good vibes!",Tebu Hotel Bandung,HOTELS
Ario P.,8.3,20-Dec-21,"Good place to stay, better if you earn the parking lot",Tebu Hotel Bandung,HOTELS
Ria M. T.,8.5,20-Nov-21,My friend & I were a bit surprised to see that there is no refrigerator inside the room. But other like mineral water & toiletries are all there. So; I guess is okay. My friend ask for 1 extra pillow and they were okay with that. We got our request to have non smoking room & high floor.,Tebu Hotel Bandung,HOTELS
Radja J.,8.5,15-Nov-21,Good Location and fast chek in.,Tebu Hotel Bandung,HOTELS
,,,,Hannah Room - Khusus Putri,HOMESTAYS
ACHMAD A. S.,5.5,02-Jan-19,Guest hoeusenya serem.,Buminanienie Guesthouse,GUEST HOUSES
seni k.,8.8,22-Jul-18,"great location near gedung sate, you can also walk around jalan Riau for food and shopping.",Buminanienie Guesthouse,GUEST HOUSES
Joana L. X.,8.5,21-Nov-17,"Been stay there for one night, overall good but the sheets is full of dust, they not change the sheets for so long. Also we found a cockroach in front of toilet, a bit much mosquito. Service was awesome. Owner very friendly and welcoming",Buminanienie Guesthouse,GUEST HOUSES
Violla R.,8.8,11-Sep-17,"Nice environment. Nice place, nice service",Buminanienie Guesthouse,GUEST HOUSES
Dina P.,8.5,22-Apr-19,"The rooms are neat, clean, hot water facilities are also available, quite comfortable, and definitely a very affordable price! Thank God, thank you",Buminanienie Guesthouse,GUEST HOUSES
Petra C.,8.5,20-Feb-19,"Strategic location, quiet, clean, friendly. Recommended.",Buminanienie Guesthouse,GUEST HOUSES
Titin S.,8.5,08-Jul-18,"Clean and neat, only the hot water is long out.",Buminanienie Guesthouse,GUEST HOUSES
Tri W.,8.3,28-Jun-18,"Car parking space is limited, some must park on the roadside",Buminanienie Guesthouse,GUEST HOUSES
Triwik R.,8.5,08-Apr-18,"The place is clean, cool atmosphere, suitable for a break after tired of working. Standard according to price.",Buminanienie Guesthouse,GUEST HOUSES
Elia M. S. P.,9.4,04-Jan-18,"All good, I am glad because of its location in the middle of the city also room service facility is enough for us the newcomers.",Buminanienie Guesthouse,GUEST HOUSES
Fivtina P. H.,9.1,21-Mar-22,Spend two days here with family and everything was good. Everyone here were helpful and kind. Thank youﾉ,Noor Hotel,HOTELS
Indri A.,8.5,02-Mar-22,,Noor Hotel,HOTELS
LIA,10,13-Feb-22,,Noor Hotel,HOTELS
Kiki M.,5.8,30-Dec-21,"I request for new clean sheet&linens, but upon arrival lots of stain on the tired linens, I ask for change after 2 times, I just setlle. Check in at 3 pm waiting on the no lights no AC no ventilized lobby hotel its the worst experienced. We decline the buffet breakfast, upon hearing that guest freely access themself with plastic glove. Its a big no no on pandemic era like today. We had a good experienced with free shutlle to train station & when my son accidently lock himself outside the room, they quickly resolve the matter, good job. Location is very centered. Its is the 9.2 rating was also questionable. All and all the CHSE sertificate is questionable. Dirty floor on my room are not tolarable at all. We will try other establishment.",Noor Hotel,HOTELS
Iwan S.,10,28-Dec-21,Very friendly and polite staff and very clean room also very good food.,Noor Hotel,HOTELS
Atie H.,9.4,24-Dec-21,,Noor Hotel,HOTELS
Alwan R. R.,9.7,13-Nov-21,"This is my 2nd time staying here and I got free upgrade to Executive room. The staff are helpful and friendly in many ways. We appreciate your kindness during this difficult time. Foods are fine, I love your grilled ribs. Btw the minus are I ordered sunny side up to replace the omelette this morning but I only got 1 egg and no sausage. The cook (I think she is a trainee) didn't even bothered to give it. It ' s okay, she has long way to learn by experience. And for the FB team, please ensure your cutlery like fork is not bent when you provide them to guests. I got them twice for my room service. Anyway, thank you for the pleasant stay we had. We will surely come back again next time.",Noor Hotel,HOTELS
Maladi S.,10,06-Nov-21,,Noor Hotel,HOTELS
Wieke N.,9.7,02-Nov-21,,Noor Hotel,HOTELS
fikri h.,8.5,31-Oct-21,Liked it and Loved it. Liked it and Loved it.,Noor Hotel,HOTELS
NIA Z. H.,9.4,07-Mar-22,,Citarum Hotel,HOTELS
Allawiyah N.,8.5,02-Feb-22,,Citarum Hotel,HOTELS
Nova W.,9.4,16-Dec-21,,Citarum Hotel,HOTELS
Desy,9.7,28-Nov-21,,Citarum Hotel,HOTELS
nur a.,10,10-Oct-21,,Citarum Hotel,HOTELS
Agus T. M.,9.1,04-Oct-21,,Citarum Hotel,HOTELS
sumbogo a. n.,9.7,08-Jun-21,"Love the place, really prefect spot if you want to go to everywhere in bandung, nearby food court in evening, gym tool complete and swimming pool really clean and nice",Citarum Hotel,HOTELS
Lisa M.,9.4,09-Nov-20,,Citarum Hotel,HOTELS
Yulia S. K.,9.7,04-Nov-20,,Citarum Hotel,HOTELS
Yulia S. K.,9.7,04-Nov-20,"Comfort hotel, clean and friendly",Citarum Hotel,HOTELS
Rina A.,9.1,20-Mar-22,"Very strategic place, clean room.",Ivory Hotel Bandung,HOTELS
Deden D. S.,8.5,19-Mar-22,,Ivory Hotel Bandung,HOTELS
Daniel A. P.,9.1,01-Mar-22,"Good B&B hotel with good services. The good: nice location, helpful customer services, neat rooms. Things to be considered: Parking space, its small compared to guest capacity, but the security are very nice and helpful with it. Things can be improved: Wall paint are a bit spotted from older paint. Also attention to detail on amenities (frayed towel and shower doors hinges) and cleanliness (some dust spots). But nothing major, and a quick wipe and replacement fixed them. Definitely in my shortlist for future visits.",Ivory Hotel Bandung,HOTELS
Restu P. N.,8.5,16-Feb-22,,Ivory Hotel Bandung,HOTELS
Ryan C. S.,9.7,20-Jan-22,"Got some problems with the room but the reception did a good job, thank you ____.",Ivory Hotel Bandung,HOTELS
Haidar A.,8.5,16-Jan-22,The comfort place to stay for business or family traveling.,Ivory Hotel Bandung,HOTELS
sotardodo t. j.,10,21-Nov-21,"Hospitality is great, breakfast is good, clean room, nice water pressure and hot water, pretty limited parking space but the security and valet is awesome.",Ivory Hotel Bandung,HOTELS
Esther M. L. T.,9.7,09-Nov-21,,Ivory Hotel Bandung,HOTELS
Haydar M.,10,31-Oct-21,"The staffs are super nice and compliant to health protocols. They are so helpful and willing to do extra miles. The room is superb, the view is amazing, the food tasted so good. The hotel is situated in such a strategic location where customers just can reach so many favorite places in Bandung with no hassle. Deifinitely recommended!",Ivory Hotel Bandung,HOTELS
Dessylovia,8.5,28-Oct-21,,Ivory Hotel Bandung,HOTELS
Frans H.,9.7,02-Feb-22,,Hay Bandung,HOTELS
Marshely R. P.,8.5,21-Jan-22,"AC is hot, dirty bathroom and super dirty balcony.",Hay Bandung,HOTELS
alif a. R.,6,15-Jan-22,Room OK clean and nice but breakfast not really good about the refill suplies the food always empty.,Hay Bandung,HOTELS
Rohana U. P.,9.7,03-Jan-22,"The room just as same as the picture. The service is good. Breakfast is just OK. Clean room, AC & water heater works well. Slippers & Amenities was nice. The only problem is you can hear the sounds from other guests from other room. And the sounds from street. Other than that, everything is good.",Hay Bandung,HOTELS
Boni A.,9.4,31-Dec-21,"Strategic location, good ambience, comfy place.",Hay Bandung,HOTELS
Adi P.,9.1,21-Dec-21,Plus + +Strategic Location in City Centre +Cozy Room +A Loot of Trees & Greenery +Nice Hotel Staff +Good Food available Restaurant and coffee shoop in Ground Floor Minus - -Sound From the street sometimes Noisy until 6 floor -Parking Loot to small and difficult for parking -Wifi to slow sometimes disconnected -need more maintenance in bathroom -the air conditioner sometimes not working well,Hay Bandung,HOTELS
Dowel K.,8.8,19-Dec-21,"Nice room and location, only one thing: the hotel cleaning team forgot to take bath towel that been using by the previous guest, also no second room key card provided. Kopi-O downstairs is nice with outdoor and indoor seating. Would like to come again.",Hay Bandung,HOTELS
Ivo G. P. T.,8.5,17-Dec-21,"Comfy accommodation at the center of Bandung City. Easy access, near to the ""Gedung Sate"". Warm and homey design of the building. Therefore, the bed is quite small. I had a twin bedroom. Overall, everything is good.",Hay Bandung,HOTELS
Herlina T.,8.5,16-Dec-21,"Great location, have many eateries around the hotel, small parking space, clean room, nice furm beds.",Hay Bandung,HOTELS
Wienda,9.7,02-Dec-21,"The place is nice and clean. Stay at the 4persons room, it's quite spacious. The hotel have nice photo spot and have nice theme. The foods are really good! The workers are nice and helpful. The hotel also near lots of cafe and shopping mall.",Hay Bandung,HOTELS
Bambang H.,9.7,21-Mar-22,"It was always great. Quiet, clean, great Wi-Fi, and very supportive staff. I'm just hoping the management will increase the voltage capacity in each room so I won't have to keep asking the staff to turn the power back on every time it 's dead due to my using a laptop for work in the room. And no, I never use altogether with a phone charger. The funny thing is it has never happened when I stayed at Bobobox Paskal.",Bobobox Dago,CAPSULE HOTEL
ade s.,8.5,24-Jan-22,,Bobobox Dago,CAPSULE HOTEL
idfi p.,9.4,14-Jan-22,"Superb! Clean, hightech, cheap (under IDR 200k), friendly staff, good facilities: wifi, hot water, water dispenser, microwave, prayer room. Althought there's silence hours (21.00-07.00) still I could hear voices. So, you might need to have ear plugs especially for those you are too sensitive to voices. But, I love the idea of natural sound effect and light setting based on our mood on our capsule. Brilliant. Just, a suggestion for those who have problem with weight and steps, you'd better book the earth type not the sky one. Over all, a great experience and would love to come back.",Bobobox Dago,CAPSULE HOTEL
Siti m.,9.1,04-Jan-22,,Bobobox Dago,CAPSULE HOTEL
ULIN N. S.,9.7,16-Dec-21,Nice pods I've ever seen ____ highly recommended ____.,Bobobox Dago,CAPSULE HOTEL
Rizky R. Y.,9.4,13-Dec-21,"Cleanliness was undoubtedly great: from the lobby, the pods corridor, to the shared bathroom all were very clean. A perfect place for a backpacker or those who are on a short vacay and looking for a place to stay: preferrably 1 to 3 nights.",Bobobox Dago,CAPSULE HOTEL
carens f.,9.4,08-Nov-21,"Good, clean, strategic location.",Bobobox Dago,CAPSULE HOTEL
Harly B. P.,9.7,05-Oct-21,"Clean, facilities (toilet, pantry, etc) are cleaned regularly. Strategic place.",Bobobox Dago,CAPSULE HOTEL
